Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model
Acer,TravelMate B,Notebook,11.6,4,Windows 10,1.4,485,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,128,0,Flash Storage,No,Intel,HD Graphics 405
HP,Elitebook 840,Notebook,14,8,Windows 10,1.48,1292,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,4,Windows 10,2.79,589,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 920MX
Asus,ZenBook UX410UA-GV183T,Notebook,14,8,Windows 10,2,1094,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,902,Full HD,1366,768,No,Yes,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Intel,UHD Graphics 620
Acer,Aspire 5,Notebook,15.6,8,Windows 10,2.2,659,Standard,1366,768,No,No,No,AMD,2.7,A12-Series 9720P,256,0,SSD,No,AMD,Radeon RX 540
Lenovo,IdeaPad 120S-14IAP,Notebook,14,4,Windows 10,1.44,292,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Acer,Aspire E5-575,Notebook,15.6,6,Windows 10,2.23,549,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Asus,VivoBook S15,Ultrabook,15.6,8,Windows 10,1.7,1049.9,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX
HP,Elitebook 820,Ultrabook,12.5,8,Windows 10,1.26,1335,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Dell,XPS 15,Notebook,15.6,32,Windows 10,2.06,2639,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,1024,0,SSD,No,Nvidia,GeForce GTX 1050
MSI,GL72M 7REX,Gaming,17.3,8,Windows 10,2.7,1199,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Toshiba,Satellite Pro,Notebook,15.6,8,Windows 10,2,943,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14,8,Windows 10,2,1334,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,1024,SSD,HDD,Intel,HD Graphics 620
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.85,449,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,8,Windows 10,2.5,999,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050
HP,EliteBook 840,Notebook,14,8,Windows 10,1.48,1268,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 7570,Ultrabook,15.6,8,Windows 10,1.9,1049,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 940MX
HP,Elitebook 850,Notebook,15.6,8,Windows 10,1.84,1144,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,4,Linux,2,274.99,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Dell,Inspiron 7570,Notebook,15.6,8,Windows 10,2,1142.75,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 940MX
Dell,Inspiron 3552,Notebook,15.6,4,Linux,2.2,274.9,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,12,Windows 10,2.2,899,Full HD,1920,1080,No,No,No,AMD,3.6,A12-Series 9720P,2048,0,HDD,No,AMD,Radeon 530
HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,716,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 930MX 
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16,Windows 10,1.4,2099,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,1579,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,Windows 10,2.4,1129,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
HP,Stream 14-AX001nv,Notebook,14,2,Windows 10,1.44,279,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,Flash Storage,No,Intel,HD Graphics 400
Dell,Latitude 5590,Ultrabook,15.6,16,Windows 10,1.88,1607.96,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,512,256,SSD,SSD,Intel,UHD Graphics 620
Asus,VivoBook Flip,2 in 1 Convertible,11.6,4,Windows 10,1.5,375,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Dell,Inspiron 5570,,15.6,8,Windows 10,1.9,663,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 530
Dell,XPS 15,Notebook,15.6,16,Windows 10,2.06,2027.42,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050
HP,Elitebook 850,Notebook,15.6,8,Windows 10,1.84,1304,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
MSI,GP72MVR 7RFX,Gaming,17.3,8,Windows 10,2.7,1409,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060
HP,Zbook 15,Workstation,15.6,8,Windows 10,2.6,1738.27,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200
Toshiba,Tecra A50-C-21G,Notebook,15.6,16,Windows 10,2.4,1403,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Nvidia,GeForce 930M
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,970.9,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,2048,SSD,HDD,AMD,Radeon 530
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,No OS,2.2,321.99,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,999,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.36,557.37,Standard,1366,768,Yes,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620
Dell,Latitude 7480,Notebook,14,8,Windows 10,1.36,1427,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,439,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Asus,Zenbook UX410UA-GV027T,Notebook,,8,Windows 10,2,945,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,Windows 10,2.8,719,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce GTX 940MX
HP,250 G6,Notebook,15.6,8,Windows 10,1.86,639,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,No OS,2.2,499,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,Nvidia,GeForce 920MX 
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,8,Windows 10,2.04,389,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,2048,0,HDD,No,Intel,HD Graphics 405
Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,1085,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,No OS,2.4,809,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Dell,Inspiron 5567,Notebook,15.6,8,Windows 10,2.33,899,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445
HP,Elitebook 1040,Ultrabook,14,8,Windows 10,1.36,1750,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Asus,ZenBook Flip,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,2048,SSD,HDD,Nvidia,GeForce GT 940MX
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,426,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,128,0,SSD,No,AMD,Radeon R5
Asus,Rog Strix,Gaming,17.3,16,Windows 10,3.25,2199,Full HD,1920,1080,No,Yes,No,AMD,3,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,4,Windows 10,2.6,489,Standard,1600,900,No,No,No,AMD,2.2,A8-Series 7410,128,0,SSD,No,AMD,Radeon R5
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,869.01,Full HD,1920,1080,Yes,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,488.99,Full HD,1920,1080,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5
Lenovo,Yoga 11e,Netbook,11.6,4,Windows 10,1.59,553,Standard,1366,768,No,Yes,No,Intel,1.1,Celeron Quad Core N3450,128,0,SSD,No,Intel,HD Graphics 500
Dell,Inspiron 3552,Notebook,15.6,4,Windows 10,1.8,309,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400
Asus,VivoBook E403NA,Notebook,14,4,Windows 10,1.5,286,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Acer,Aspire 7,Notebook,15.6,8,Linux,2.4,846,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
HP,Omen 17-w212nv,Gaming,17.3,8,Windows 10,3.35,1191,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,4,No OS,1.85,403.5,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
Asus,ROG Strix,Gaming,15.6,8,Windows 10,2.3,1655,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060
Lenovo,IdeaPad 720S-14IKB,Notebook,14,8,Windows 10,1.5,1099,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX
Asus,Zenbook Flip,Ultrabook,13.3,16,Windows 10,1.1,1748.9,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Lenovo,Thinkpad X1,Ultrabook,14,8,Windows 10,1.13,2282,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,4,Windows 10,1.5,549,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,128,0,SSD,No,Intel,HD Graphics 620
Dell,Precision 3510,Workstation,15.6,8,Windows 10,2.23,1369,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 6440HQ,500,0,HDD,No,AMD,FirePro W5130M
Dell,Precision 5520,Workstation,15.6,8,Windows 10,2,2135,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 6820HQ,256,0,SSD,No,Nvidia,Quadro M1200
Lenovo,ThinkPad X1,2 in 1 Convertible,14,16,Windows 10,1.42,2509,Standard,2560,1440,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Asus,Rog GL753VD-GC042T,Gaming,17.3,8,Windows 10,3,1039,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
Asus,Rog GL753VE-GC070T,Gaming,17.3,16,Windows 10,3,1591,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Acer,Aspire 5,Notebook,,12,Windows 10,2.2,693.99,Standard,1366,768,No,Yes,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce MX130
MSI,Leopard GP72M,Gaming,17.3,8,Windows 10,2.7,1349,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050 Ti
Dell,Inspiron 5567,Notebook,15.6,8,Linux,2.33,778.87,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,4,Windows 10,1.91,499,Full HD,1920,1080,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon 520
Lenovo,ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,1229.56,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550
Lenovo,ThinkPad L470,Notebook,14,8,Windows 10,1.9,938,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Precision M5520,Workstation,15.6,8,Windows 10,1.78,2712,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200
Lenovo,Thinkpad X1,Ultrabook,14,16,Windows 10,1.13,2625,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,1024,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,Windows 10,2.2,306,Standard,1366,768,,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,16,Windows 10,2.9,1529,Full HD,1920,1080,,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Lenovo,ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,1144.5,Full HD,1920,1080,,Yes,No,Intel,1.6,Core i5 8250U,256,1024,SSD,HDD,AMD,Radeon RX 550
Acer,Aspire 7,Notebook,15.6,8,Linux,2.5,879,Full HD,1920,1080,,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050
MSI,GE73VR 7RF,Gaming,17.3,16,Windows 10,2.8,2249,Full HD,1920,1080,,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Asus,Zenbook 3,Ultrabook,14,8,Windows 10,1.1,1873,Full HD,1920,1080,,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,16,Windows 10,1.2,1747,Full HD,1920,1080,,No,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520
Dell,Latitude 7480,Ultrabook,14,8,Windows 10,1.36,1680,Full HD,1920,1080,,No,No,Intel,2.8,Core i7 7600U,512,0,SSD,No,Intel,HD Graphics
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,Windows 10,2.2,409,Full HD,1920,1080,,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Lenovo,Lenovo IdeaPad,Notebook,11.6,2,Windows 10,1.15,304.45,Standard,1366,768,,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Lenovo,ThinkPad P51,Workstation,15.6,8,Windows 10,2.67,1925,Full HD,1920,1080,,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,Quadro M1200
Lenovo,Thinkpad T470p,Ultrabook,14,8,Windows 10,1.7,1943,Full HD,2560,1440,,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GT 940MX
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,4,Windows 10,2.1,469,Full HD,1920,1080,,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,AMD,Radeon 520
Acer,Aspire R7,2 in 1 Convertible,13.3,8,Windows 10,1.6,789.01,Full HD,1920,1080,,Yes,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520
Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.27,928,Full HD,1920,1080,,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.3,598.9,Full HD,1920,1080,,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430
Dell,Latitude 3380,Notebook,13.3,4,Windows 10,1.65,689,Standard,1366,768,,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
HP,EliteBook 1040,Ultrabook,14,8,Windows 10,1.43,1500,Full HD,1920,1080,,No,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520
Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.14,539.95,Standard,1366,768,,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Lenovo,ThinkPad E480,Ultrabook,14,8,Windows 10,1.75,1215.38,Full HD,1920,1080,,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,16,Windows 10,2,1899,4K Ultra HD,3840,2160,,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050
Chuwi,LapBook 12.3,Notebook,12.3,6,Windows 10,1.4,449,Standard,2736,1824,,Yes,Yes,Intel,1.1,Celeron Quad Core N3450,64,0,Flash Storage,No,Intel,HD Graphics 500
HP,ProBook 650,Notebook,15.6,8,Windows 10,2.31,1427,Full HD,1920,1080,,No,No,Intel,2.9,Core i7 7820HQ,256,0,SSD,No,Intel,HD Graphics 630
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,597,Full HD,1920,1080,,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX
Dell,Alienware 17,Gaming,17.3,16,Windows 10,4.42,2799,Standard,2560,1440,,Yes,No,Intel,2.9,Core i7 7820HK,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.62,1159,Full HD,1920,1080,,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,1142.4,Full HD,1920,1080,,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530
Dell,Latitude 5480,Ultrabook,14,8,Linux,1.6,1099,Full HD,1920,1080,,No,No,Intel,2.8,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620
HP,Omen 17-w207nv,Gaming,17.3,12,Windows 10,3.35,1999,Full HD,1920,1080,,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,4,Windows 10,1.16,299,Full HD,1920,1080,,Yes,No,Intel,1.1,Celeron Dual Core N3350,32,0,SSD,No,Intel,HD Graphics 500
Samsung,Chromebook 3,Netbook,11.6,4,Chrome OS,1.15,269,Standard,1366,768,,No,No,Intel,1.6,Celeron Dual Core N3060,16,0,Flash Storage,No,Intel,HD Graphics 400
Lenovo,Thinkpad 13,Notebook,13.3,8,Windows 10,1.4,1010,Full HD,1920,1080,,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320s-14IKB,Notebook,14,4,Windows 10,1.7,599,Full HD,1920,1080,,Yes,No,Intel,2.7,Core i3 7130U,128,0,SSD,No,Intel,HD Graphics 620
Lenovo,Thinkpad T570,Workstation,15.6,16,Windows 10,2.3,2445,4K Ultra HD,3840,2160,,Yes,No,Intel,2.8,Core i7 7600U,512,0,SSD,No,Nvidia,GeForce 940MX
Lenovo,Thinkpad P51,Notebook,15.6,16,Windows 10,2.5,2449,Full HD,1920,1080,,No,No,Intel,2.9,Core i7 7820HQ,512,0,SSD,No,Nvidia,Quadro M2200M
Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,1695,Full HD,1920,1080,,No,No,AMD,3.2,Ryzen 1600,256,1024,SSD,HDD,AMD,Radeon RX 580
HP,15-ra044nv (N3060/4GB/500GB/W10),,15.6,4,Windows 10,2.1,347,Standard,1366,768,,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400
Google,Pixelbook (Core,Ultrabook,12.3,16,Chrome OS,1.1,2199,Standard,2400,1600,,No,No,Intel,1.3,Core i7 7Y75,512,0,SSD,No,Intel,HD Graphics 615
Lenovo,ThinkPad T470s,Ultrabook,14,24,Windows 10,1.32,2382,Standard,2560,1440,,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Asus,VivoBook Max,Notebook,15.6,4,Linux,2,559,Full HD,1920,1080,,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15AST,Notebook,17.3,8,Windows 10,2.8,519,Standard,1600,900,,No,No,AMD,2.5,A6-Series 9220,1024,0,HDD,No,AMD,Radeon R4
Dell,Inspiron 5570,Notebook,15.6,4,Windows 10,2.2,749,Full HD,1920,1080,,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530
Lenovo,ThinkPad X270,Ultrabook,12.5,8,Windows 10,1.36,1429,Full HD,1920,1080,,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,Windows 10,2.2,349,Full HD,1920,1080,,No,No,Intel,1.1,Pentium Quad Core N4200,128,0,SSD,No,Intel,HD Graphics 505
HP,Omen 15-AX205na,Gaming,15.6,8,Windows 10,2.2,1099,Full HD,1920,1080,,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Dell,Latitude 5480,Notebook,14,8,Windows 10,1.64,1179,Full HD,1920,1080,,No,No,Intel,2.8,Core i5 7440HQ,256,0,SSD,No,Nvidia,GeForce 930MX
Acer,Aspire ES1-572,Notebook,15.6,4,Linux,2.4,441.8,Standard,1366,768,,No,No,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620
Dell,Precision 3520,Workstation,15.6,8,Windows 10,2.23,1993,Full HD,1920,1080,,No,No,Intel,3,Xeon E3-1505M V6,64,1024,Flash Storage,HDD,Nvidia,Quadro M620
MSI,GV62 7RD-1686NL,Gaming,15.6,8,Windows 10,2.2,1027.74,Full HD,1920,1080,,No,No,Intel,2.5,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050
Microsoft,Surface Laptop,Ultrabook,13.5,16,Windows 10 S,1.25,2589,Standard,2256,1504,,No,No,Intel,2.5,Core i7 7660U,512,0,SSD,No,Intel,Iris Plus Graphics 640
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,8,Windows 10,1.91,589,Standard,1366,768,,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620
Dell,Precision 3520,Workstation,15.6,16,Windows 10,2.17,1975,Full HD,1920,1080,,Yes,No,Intel,2.7,Core i7 6820HQ,256,0,SSD,No,Nvidia,Quadro M620
HP,ProBook 650,Workstation,15.6,8,Windows 10,2.31,1534,Full HD,1920,1080,,Yes,No,Intel,2.9,Core i7 7820HQ,512,0,SSD,No,Intel,HD Graphics 620
Lenovo,ThinkPad T470,Notebook,14,8,Windows 10,1.65,1345,Full HD,1920,1080,,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.36,979,Full HD,1920,1080,,No,No,Intel,1.8,Core i7 8550U,128,1024,SSD,HDD,AMD,Radeon 530
Dell,Inspiron 3168,2 in 1 Convertible,11.6,4,Windows 10,1.47,479,Standard,1366,768,,No,No,Intel,1.6,Pentium Quad Core N3710,500,0,HDD,No,Intel,HD Graphics 405
Dell,Alienware 17,Notebook,17.3,8,Windows 10,4.42,2046,Full HD,1920,1080,,Yes,No,Intel,2.7,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1060
Microsoft,Surface Laptop,Ultrabook,13.5,4,Windows 10 S,1.252,989,Standard,2256,1504,,No,No,Intel,2.2,Core M m3-7Y30,128,0,SSD,No,Intel,HD Graphics 615
